排名,中文名,英文名,标签,地址,行业,分数,办学层次,Logo
261,浙大城市学院,Zhejiang University City College,,浙江,理工,153.7,,https://www.shanghairanking.cn/_uni/logo/46612256.png
262,沈阳师范大学,Shenyang Normal University,,辽宁,师范,153.5,,https://www.shanghairanking.cn/_uni/logo/35037401.png
263,大连交通大学,Dalian Jiaotong University,,辽宁,理工,153.2,,https://www.shanghairanking.cn/_uni/logo/50496475.png
264,成都信息工程大学,Chengdu University of Information Technology,,四川,理工,153.0,,https://www.shanghairanking.cn/_uni/logo/51862705.png
265,上海海关学院,Shanghai Customs College,,上海,综合,152.3,,https://www.shanghairanking.cn/_uni/logo/36783364.png
266,西安工程大学,Xi'an Polytechnic University,,陕西,理工,152.0,,https://www.shanghairanking.cn/_uni/logo/23494932.png
267,桂林理工大学,Guilin University of Technology,,广西,理工,151.1,,https://www.shanghairanking.cn/_uni/logo/10181164.png
267,江汉大学,Jianghan University,,湖北,综合,151.1,,https://www.shanghairanking.cn/_uni/logo/43420140.png
269,沈阳理工大学,Shenyang Ligong University,,辽宁,理工,150.9,,https://www.shanghairanking.cn/_uni/logo/61862540.png
270,安徽建筑大学,Anhui jianzhu University,,安徽,理工,150.5,,https://www.shanghairanking.cn/_uni/logo/40890032.png
271,湖南工业大学,Hunan University of Technology,,湖南,理工,149.9,,https://www.shanghairanking.cn/_uni/logo/21950632.png
272,绍兴文理学院,Shaoxing University,,浙江,师范,149.6,,https://www.shanghairanking.cn/_uni/logo/52850359.png
273,厦门理工学院,Xiamen University of Technology,,福建,理工,149.0,,https://www.shanghairanking.cn/_uni/logo/19033285.png
274,辽宁工程技术大学,Liaoning Technical University,,辽宁,理工,148.6,,https://www.shanghairanking.cn/_uni/logo/44745654.png
274,浙大宁波理工学院,NingboTech University,,浙江,理工,148.6,,https://www.shanghairanking.cn/_uni/logo/68131907.png
276,北京印刷学院,Beijing Institute of Graphic Communication,,北京,理工,148.4,,https://www.shanghairanking.cn/_uni/logo/19759004.png
277,内蒙古工业大学,Inner Mongolia University of Technology,,内蒙古,理工,147.4,,https://www.shanghairanking.cn/_uni/logo/41582349.png
278,北京石油化工学院,Beijing Institute of Petrochemical Technology,,北京,理工,147.2,,https://www.shanghairanking.cn/_uni/logo/47539221.png
279,华北理工大学,North China University of Science and Technology,,河北,综合,147.0,,https://www.shanghairanking.cn/_uni/logo/60206933.png
280,常熟理工学院,Changshu Institute of Technology,,江苏,理工,146.4,,https://www.shanghairanking.cn/_uni/logo/44425885.png
281,延安大学,Yan'an University,,陕西,综合,146.2,,https://www.shanghairanking.cn/_uni/logo/39856591.png
282,中国民航大学,Civil Aviation University of China,,天津,理工,145.5,,https://www.shanghairanking.cn/_uni/logo/32878207.png
283,黑龙江八一农垦大学,Heilongjiang Bayi Agricultural University,,黑龙江,农业,144.9,,https://www.shanghairanking.cn/_uni/logo/10913514.png
283,中原工学院,Zhongyuan University of Technology,,河南,理工,144.9,,https://www.shanghairanking.cn/_uni/logo/84789296.png
285,辽宁科技大学,University of Science and Technology Liaoning,,辽宁,理工,144.5,,https://www.shanghairanking.cn/_uni/logo/62832363.png
286,沈阳大学,Shenyang University,,辽宁,综合,143.9,,https://www.shanghairanking.cn/_uni/logo/64518610.png
287,合肥大学,Hefei University,,安徽,理工,143.8,,https://www.shanghairanking.cn/_uni/logo/61834081.png
288,北华大学,Beihua University,,吉林,综合,143.5,,https://www.shanghairanking.cn/_uni/logo/70718646.png
289,新疆农业大学,Xinjiang Agricultural University,,新疆,农业,143.3,,https://www.shanghairanking.cn/_uni/logo/86159068.png
290,北京联合大学,Beijing Union University,,北京,综合,143.0,,https://www.shanghairanking.cn/_uni/logo/38515710.png
291,闽江学院,Minjiang University,,福建,理工,142.5,,https://www.shanghairanking.cn/_uni/logo/95059485.png
292,辽宁工业大学,Liaoning University of Technology,,辽宁,理工,141.8,,https://www.shanghairanking.cn/_uni/logo/98866857.png
293,宁波工程学院,Ningbo University of Technology,,浙江,理工,141.3,,https://www.shanghairanking.cn/_uni/logo/40131695.png
294,河北工程大学,Hebei University of Engineering,,河北,理工,141.1,,https://www.shanghairanking.cn/_uni/logo/89281811.png
295,盐城工学院,Yancheng Institute of Technology,,江苏,理工,140.8,,https://www.shanghairanking.cn/_uni/logo/98593672.png
295,云南农业大学,Yunnan Agricultural University,,云南,农业,140.8,,https://www.shanghairanking.cn/_uni/logo/17581582.png
297,太原科技大学,Taiyuan University of Science and Technology,,山西,理工,140.6,,https://www.shanghairanking.cn/_uni/logo/22418234.png
298,吉首大学,Jishou University,,湖南,综合,140.4,,https://www.shanghairanking.cn/_uni/logo/24710054.png
299,重庆科技大学,Chongqing University of Science and Technology,,重庆,理工,139.9,,https://www.shanghairanking.cn/_uni/logo/92174588.png
300,广东海洋大学,Guangdong Ocean University,,广东,农业,139.7,,https://www.shanghairanking.cn/_uni/logo/71593833.png
301,大连海洋大学,Dalian Ocean University,,辽宁,农业,139.6,,https://www.shanghairanking.cn/_uni/logo/31946724.png
302,淮阴工学院,Huaiyin Institute of Technology,,江苏,理工,138.9,,https://www.shanghairanking.cn/_uni/logo/43135857.png
303,内蒙古科技大学,Inner Mongolia University of Science & Technology,,内蒙古,综合,138.5,,https://www.shanghairanking.cn/_uni/logo/98701978.png
304,台州学院,Taizhou University,,浙江,综合,138.1,,https://www.shanghairanking.cn/_uni/logo-jpg/8551212700.jpg
305,塔里木大学,Tarim University,,新疆,综合,138.0,,https://www.shanghairanking.cn/_uni/logo/99603674.png
305,信阳师范大学,Xinyang Normal University,,河南,师范,138.0,,https://www.shanghairanking.cn/_uni/logo/20481613.png
307,西华大学,Xihua University,,四川,综合,137.3,,https://www.shanghairanking.cn/_uni/logo/93995661.png
308,湖南理工学院,Hunan Institute of Science and Technology,,湖南,理工,137.1,,https://www.shanghairanking.cn/_uni/logo/43186940.png
309,大理大学,Dali University,,云南,综合,136.7,,https://www.shanghairanking.cn/_uni/logo/75994663.png
310,景德镇陶瓷大学,Jingdezhen Ceramic Institute,,江西,理工,136.4,,https://www.shanghairanking.cn/_uni/logo/97993379.png
310,新疆师范大学,Xinjiang Normal University,,新疆,师范,136.4,,https://www.shanghairanking.cn/_uni/logo/91394778.png
312,吉林师范大学,Jilin Normal University,,吉林,师范,136.0,,https://www.shanghairanking.cn/_uni/logo/23887678.png
313,长春师范大学,Changchun Normal University,,吉林,师范,135.8,,https://www.shanghairanking.cn/_uni/logo/82800037.png
314,西南林业大学,Southwest Forestry University,,云南,林业,135.5,,https://www.shanghairanking.cn/_uni/logo/53403086.png
315,长江师范学院,Yangtze Normal University,,重庆,师范,135.1,,https://www.shanghairanking.cn/_uni/logo/86035678.png
315,盐城师范学院,Yancheng Teachers University,,江苏,师范,135.1,,https://www.shanghairanking.cn/_uni/logo/87686237.png
317,江苏理工学院,Jiangsu University of Technology,,江苏,理工,135.0,,https://www.shanghairanking.cn/_uni/logo/18087642.png
317,闽南师范大学,Minnan Normal University,,福建,师范,135.0,,https://www.shanghairanking.cn/_uni/logo/54713686.png
319,淮阴师范学院,Huaiyin Normal University,,江苏,师范,134.7,,https://www.shanghairanking.cn/_uni/logo/72353527.png
320,福建理工大学,Fujian University of Technology,,福建,理工,134.5,,https://www.shanghairanking.cn/_uni/logo/77255531.png
321,河北地质大学,Hebei GEO University,,河北,综合,134.4,,https://www.shanghairanking.cn/_uni/logo/95683822.png
321,淮北师范大学,Huaibei Normal University,,安徽,师范,134.4,,https://www.shanghairanking.cn/_uni/logo/42492973.png
323,南宁师范大学,Guangxi Teachers Education University,,广西,师范,134.2,,https://www.shanghairanking.cn/_uni/logo/93746377.png
324,贵州师范学院,Guizhou Normal College,,贵州,师范,133.9,,https://www.shanghairanking.cn/_uni/logo/12076666.png
325,常州工学院,Changzhou Institute of Technology,,江苏,理工,133.7,,https://www.shanghairanking.cn/_uni/logo/21237870.png
326,上海第二工业大学,Shanghai Second Polytechnic University,,上海,理工,132.8,,https://www.shanghairanking.cn/_uni/logo/70585176.png
327,天津城建大学,Tianjin Chengjian University,,天津,理工,132.3,,https://www.shanghairanking.cn/_uni/logo/46314554.png
328,广东技术师范大学,Guangdong Polytechnic Normal University,,广东,师范,132.0,,https://www.shanghairanking.cn/_uni/logo/76957155.png
328,上海电机学院,Shanghai Dianji University,,上海,理工,132.0,,https://www.shanghairanking.cn/_uni/logo/14374343.png
328,徐州工程学院,Xuzhou Institute of Technology,,江苏,理工,132.0,,https://www.shanghairanking.cn/_uni/logo/15209078.png
331,湖北师范大学,Hubei Normal University,,湖北,师范,131.7,,https://www.shanghairanking.cn/_uni/logo/40458904.png
331,江苏海洋大学,Huaihai Institute of Technology,,江苏,理工,131.7,,https://www.shanghairanking.cn/_uni/logo/24296488.png
333,吉林建筑大学,Jilin Jianzhu University,,吉林,理工,131.3,,https://www.shanghairanking.cn/_uni/logo/67832474.png
334,安庆师范大学,Anqing Normal University,,安徽,师范,131.1,,https://www.shanghairanking.cn/_uni/logo/66650184.png
334,长沙学院,Changsha University,,湖南,理工,131.1,,https://www.shanghairanking.cn/_uni/logo/54067016.png
336,南昌工程学院,Nanchang Institute of Technology,,江西,理工,130.8,,https://www.shanghairanking.cn/_uni/logo/88433724.png
336,山东交通学院,Shandong Jiaotong University,,山东,理工,130.8,,https://www.shanghairanking.cn/_uni/logo/72327141.png
336,五邑大学,Wuyi University,,广东,综合,130.8,,https://www.shanghairanking.cn/_uni/logo/80058564.png
339,河南科技学院,Henan Institute of Science and Technology,,河南,师范,130.6,,https://www.shanghairanking.cn/_uni/logo/45836143.png
340,江西科技师范大学,Jiangxi Science and Technology Normal University,,江西,师范,130.0,,https://www.shanghairanking.cn/_uni/logo/63137261.png
341,井冈山大学,Jinggangshan University,,江西,综合,129.7,,https://www.shanghairanking.cn/_uni/logo/50371015.png
342,重庆文理学院,Chongqing University of Arts and Science,,重庆,综合,128.5,,https://www.shanghairanking.cn/_uni/logo/30413024.png
342,浙江万里学院,Zhejiang Wanli University,,浙江,理工,128.5,,https://www.shanghairanking.cn/_uni/logo/32947352.png
344,湖南第一师范学院,Hunan First Normal University,,湖南,师范,128.0,,https://www.shanghairanking.cn/_uni/logo/20498995.png
344,陕西理工大学,Shaanxi University of Technology,,陕西,理工,128.0,,https://www.shanghairanking.cn/_uni/logo/18739697.png
346,洛阳师范学院,Luoyang Normal University,,河南,师范,127.7,,https://www.shanghairanking.cn/_uni/logo/60927754.png
347,天津职业技术师范大学,TianJin University of Technology and Education,,天津,师范,127.2,,https://www.shanghairanking.cn/_uni/logo/38391685.png
347,仲恺农业工程学院,Zhongkai University of Agriculture and Engineering,,广东,农业,127.2,,https://www.shanghairanking.cn/_uni/logo/27048883.png
349,衡阳师范学院,Hengyang Normal University,,湖南,师范,126.6,,https://www.shanghairanking.cn/_uni/logo/34272930.png
350,临沂大学,Linyi University,,山东,综合,126.5,,https://www.shanghairanking.cn/_uni/logo/85449690.png
350,天津农学院,Tianjin Agricultural University,,天津,农业,126.5,,https://www.shanghairanking.cn/_uni/logo/45293117.png
352,南京晓庄学院,Nanjing XiaoZhuang University,,江苏,师范,126.3,,https://www.shanghairanking.cn/_uni/logo/17661336.png
353,黄冈师范学院,Huanggang Normal University,,湖北,师范,126.2,,https://www.shanghairanking.cn/_uni/logo/63694810.png
