排名,中文名,英文名,标签,地址,行业,分数,办学层次,Logo
430,哈尔滨学院,Harbin University,,黑龙江,综合,112.4,,https://www.shanghairanking.cn/_uni/logo/71111811.png
430,上饶师范学院,Shangrao Normal University,,江西,师范,112.4,,https://www.shanghairanking.cn/_uni/logo-jpg/7197432700.jpg
432,贵州理工学院,Guizhou Institute of Technology,,贵州,理工,112.0,,https://www.shanghairanking.cn/_uni/logo/98035266.png
432,牡丹江师范学院,Mudanjiang Normal University,,黑龙江,师范,112.0,,https://www.shanghairanking.cn/_uni/logo/39075056.png
434,昆明学院,Kunming University,,云南,综合,111.6,,https://www.shanghairanking.cn/_uni/logo/12954554.png
435,宜宾学院,Yibin University,,四川,综合,111.2,,https://www.shanghairanking.cn/_uni/logo/40775796.png
436,重庆第二师范学院,Chongqing University of Education,,重庆,师范,111.1,,https://www.shanghairanking.cn/_uni/logo/78569083.png
437,商丘师范学院,Shangqiu Normal University,,河南,师范,111.0,,https://www.shanghairanking.cn/_uni/logo/54757149.png
438,湖南人文科技学院,"Hunan University of Humanities, Science and Technology",,湖南,师范,110.8,,https://www.shanghairanking.cn/_uni/logo-jpg/4726142300.jpg
439,黄淮学院,Huanghuai University,,河南,师范,110.6,,https://www.shanghairanking.cn/_uni/logo/99125868.png
440,长治学院,Changzhi University,,山西,师范,110.4,,https://www.shanghairanking.cn/_uni/logo-jpg/6834033600.jpg
441,湖北工程学院,Hubei Engineering University,,湖北,综合,110.3,,https://www.shanghairanking.cn/_uni/logo/93515588.png
441,平顶山学院,Pingdingshan University,,河南,师范,110.3,,https://www.shanghairanking.cn/_uni/logo/95443426.png
443,乐山师范学院,Leshan Normal University,,四川,师范,110.1,,https://www.shanghairanking.cn/_uni/logo/88627950.png
443,温州理工学院,Wenzhou University of Technology,,浙江,理工,110.1,,https://www.shanghairanking.cn/_uni/logo/34293161.png
443,西昌学院,Xichang College,,四川,综合,110.1,,https://www.shanghairanking.cn/_uni/logo-jpg/8838763600.jpg
443,遵义师范学院,Zunyi Normal University,,贵州,师范,110.1,,https://www.shanghairanking.cn/_uni/logo-jpg/7195928000.jpg
447,信阳农林学院,Xinyang Agriculture and Forestry University,,河南,农业,110.0,,https://www.shanghairanking.cn/_uni/logo-jpg/8561928200.jpg
447,宜春学院,Yichun University,,江西,综合,110.0,,https://www.shanghairanking.cn/_uni/logo/60393380.png
449,天水师范学院,Tianshui Normal University,,甘肃,师范,109.9,,https://www.shanghairanking.cn/_uni/logo/35438108.png
449,营口理工学院,YingKou Institute of Technology,,辽宁,理工,109.9,,https://www.shanghairanking.cn/_uni/logo-jpg/1906674600.jpg
451,商洛学院,Shangluo University,,陕西,综合,109.5,,https://www.shanghairanking.cn/_uni/logo/56711450.png
452,兰州石化职业技术大学,Zhixing College of Northwest Normal University,,甘肃,理工,109.2,,https://www.shanghairanking.cn/_uni/logo/50775738.png
453,宁德师范学院,Ningde Normal University,,福建,师范,108.8,,https://www.shanghairanking.cn/_uni/logo-jpg/6036772300.jpg
454,邵阳学院,Shaoyang University,,湖南,理工,108.7,,https://www.shanghairanking.cn/_uni/logo/89823044.png
455,海南热带海洋学院,Hainan Tropical Ocean University,,海南,综合,108.5,,https://www.shanghairanking.cn/_uni/logo/40219438.png
456,洛阳理工学院,Luoyang Institute of Science and Technology,,河南,综合,108.4,,https://www.shanghairanking.cn/_uni/logo/48021129.png
456,玉溪师范学院,Yuxi Normal University,,云南,师范,108.4,,https://www.shanghairanking.cn/_uni/logo/22391217.png
458,成都工业学院,Chengdu Technological University,,四川,理工,107.8,,https://www.shanghairanking.cn/_uni/logo/83350978.png
459,安阳工学院,Anyang Institute of Technology,,河南,理工,107.7,,https://www.shanghairanking.cn/_uni/logo/16651461.png
460,四川旅游学院,Sichuan Tourism University,,四川,综合,107.6,,https://www.shanghairanking.cn/_uni/logo-jpg/1651148300.jpg
461,九江学院,Jiujiang University,,江西,综合,107.5,,https://www.shanghairanking.cn/_uni/logo/46532631.png
462,鞍山师范学院,Anshan Normal University Liaoning China,,辽宁,师范,107.3,,https://www.shanghairanking.cn/_uni/logo/82317225.png
463,山东女子学院,Shandong Women's University,,山东,综合,107.1,,https://www.shanghairanking.cn/_uni/logo-jpg/6756319700.jpg
464,内蒙古科技大学包头师范学院,Baotou Teachers' College,,内蒙古,综合,107.0,,https://www.shanghairanking.cn/_uni/logo-jpg/2887180000.jpg
465,赤峰学院,Chifeng University,,内蒙古,综合,106.9,,https://www.shanghairanking.cn/_uni/logo/71637705.png
465,淮南师范学院,Huainan Normal University,,安徽,师范,106.9,,https://www.shanghairanking.cn/_uni/logo/56595333.png
465,湖南工学院,Hunan Institute of Technology,,湖南,理工,106.9,,https://www.shanghairanking.cn/_uni/logo/65480177.png
468,贺州学院,Hezhou University,,广西,综合,106.6,,https://www.shanghairanking.cn/_uni/logo/68638535.png
468,吉林化工学院,Jilin Institute of Chemical Technology,,吉林,理工,106.6,,https://www.shanghairanking.cn/_uni/logo/38741664.png
470,河西学院,HeXi University,,甘肃,综合,106.4,,https://www.shanghairanking.cn/_uni/logo/84218792.png
471,南昌师范学院,Nanchang Normal University,,江西,师范,106.3,,https://www.shanghairanking.cn/_uni/logo-jpg/9123847400.jpg
472,许昌学院,Xuchang University,,河南,理工,106.1,,https://www.shanghairanking.cn/_uni/logo/12049720.png
473,吉林农业科技学院,Jilin Agricultural Science and Technology University,,吉林,农业,105.3,,https://www.shanghairanking.cn/_uni/logo-jpg/3050964900.jpg
474,河北建筑工程学院,Hebei University of Architecture,,河北,理工,105.1,,https://www.shanghairanking.cn/_uni/logo/67868196.png
475,河南牧业经济学院,Henan University of Animal Husbandry and Economy,,河南,农业,105.0,,https://www.shanghairanking.cn/_uni/logo/55458057.png
476,宁夏师范大学,Ningxia Normal University,,宁夏,师范,104.9,,https://www.shanghairanking.cn/_uni/logo-jpg/3211405500.jpg
477,陇东学院,Long Dong University,,甘肃,师范,104.6,,https://www.shanghairanking.cn/_uni/logo/49553796.png
477,武夷学院,Wuyi University,,福建,综合,104.6,,https://www.shanghairanking.cn/_uni/logo-jpg/6657725600.jpg
479,运城学院,Yuncheng University,,山西,师范,104.5,,https://www.shanghairanking.cn/_uni/logo/26090569.png
480,安康学院,Ankang University,,陕西,综合,104.4,,https://www.shanghairanking.cn/_uni/logo/83476348.png
481,宿州学院,Suzhou University,,安徽,师范,104.2,,https://www.shanghairanking.cn/_uni/logo-jpg/5126663700.jpg
482,山东管理学院,Shandong Management University,,山东,综合,104.1,,https://www.shanghairanking.cn/_uni/logo-jpg/7097115800.jpg
483,黄山学院,Huangshan University,,安徽,师范,103.7,,https://www.shanghairanking.cn/_uni/logo/56600197.png
484,泰州学院,Taizhou University,,江苏,师范,103.2,,https://www.shanghairanking.cn/_uni/logo/46820207.png
485,巢湖学院,Chaohu University,,安徽,师范,103.0,,https://www.shanghairanking.cn/_uni/logo/67944058.png
485,喀什大学,Kashi University,,新疆,师范,103.0,,https://www.shanghairanking.cn/_uni/logo-jpg/3795453200.jpg
485,陕西学前师范学院,Shaanxi Xueqian Normal University,,陕西,师范,103.0,,https://www.shanghairanking.cn/_uni/logo-jpg/1691016600.jpg
488,辽东学院,Eastern Liaoning University,,辽宁,综合,102.8,,https://www.shanghairanking.cn/_uni/logo/32502477.png
488,伊犁师范大学,Yili Normal University,,新疆,师范,102.8,,https://www.shanghairanking.cn/_uni/logo/88921235.png
490,山东农业工程学院,Shandong Agriculture and Engineering University,,山东,综合,102.5,,https://www.shanghairanking.cn/_uni/logo/72581679.png
491,辽宁科技学院,Liaoning Institute of Science and Technology,,辽宁,理工,102.3,,https://www.shanghairanking.cn/_uni/logo-jpg/2349550300.jpg
492,琼台师范学院,Qiongtai Normal University,,海南,师范,102.0,,https://www.shanghairanking.cn/_uni/logo-jpg/8817040400.jpg
493,红河学院,Honghe University,,云南,综合,101.9,,https://www.shanghairanking.cn/_uni/logo/87705412.png
494,湖州学院,Huzhou University Qiuzhen College,,浙江,师范,101.7,,https://www.shanghairanking.cn/_uni/logo/19332185.png
495,山东青年政治学院,Shandong Youth University of Political Science,,山东,综合,101.6,,https://www.shanghairanking.cn/_uni/logo-jpg/8794886600.jpg
496,六盘水师范学院,Liupanshui Normal University,,贵州,师范,101.3,,https://www.shanghairanking.cn/_uni/logo-jpg/1719257800.jpg
497,梧州学院,Wuzhou University,,广西,综合,100.7,,https://www.shanghairanking.cn/_uni/logo-jpg/3573615200.jpg
498,呼伦贝尔学院,Hulunbuir University,,内蒙古,综合,100.6,,https://www.shanghairanking.cn/_uni/logo/37984077.png
499,河北民族师范学院,Hebei Normal University for Nationalities,,河北,师范,100.3,,https://www.shanghairanking.cn/_uni/logo-jpg/4961844000.jpg
499,兰州城市学院,Lanzhou City University,,甘肃,综合,100.3,,https://www.shanghairanking.cn/_uni/logo/61174686.png
501,凯里学院,Kaili University,,贵州,综合,100.1,,https://www.shanghairanking.cn/_uni/logo-jpg/8587602700.jpg
501,兰州工业学院,Lanzhou Institute of Technology,,甘肃,理工,100.1,,https://www.shanghairanking.cn/_uni/logo-jpg/9986906100.jpg
501,郑州工程技术学院,Zhengzhou Institute of Technology,,河南,理工,100.1,,https://www.shanghairanking.cn/_uni/logo-jpg/8369306300.jpg
504,福建技术师范学院,Fujian Polytechnic Normal University,,福建,师范,100.0,,https://www.shanghairanking.cn/_uni/logo-jpg/2006306400.jpg
505,阿坝师范学院,Aba Teachers University,,四川,师范,99.5,,https://www.shanghairanking.cn/_uni/logo-jpg/7867310100.jpg
505,贵阳康养职业大学,Qiushi College of Guizhou Normal University Institute,,贵州,师范,99.5,,https://www.shanghairanking.cn/_uni/logo/f4adb160.png
507,安顺学院,Anshun University,,贵州,综合,99.4,,https://www.shanghairanking.cn/_uni/logo-jpg/1559271700.jpg
507,大庆师范学院,Daqing Normal University,,黑龙江,综合,99.4,,https://www.shanghairanking.cn/_uni/logo-jpg/7194980800.jpg
509,萍乡学院,Pingxiang University,,江西,综合,99.1,,https://www.shanghairanking.cn/_uni/logo-jpg/2474541200.jpg
510,南京特殊教育师范学院,Nanjing Normal University of Special Education,,江苏,师范,98.9,,https://www.shanghairanking.cn/_uni/logo-jpg/4784677600.jpg
511,郑州师范学院,Zhengzhou Normal University,,河南,师范,98.8,,https://www.shanghairanking.cn/_uni/logo/81495500.png
512,长沙师范学院,Changsha Normal University,,湖南,师范,98.6,,https://www.shanghairanking.cn/_uni/logo-jpg/3063398500.jpg
512,赣南科技学院,"College of Applied Science, Jiangxi University of Science and Technology",,江西,理工,98.6,,https://www.shanghairanking.cn/_uni/logo/74855408.png
514,桂林航天工业学院,Guilin University of Aerospace Technology,,广西,理工,98.1,,https://www.shanghairanking.cn/_uni/logo/78821750.png
514,晋中学院,Jinzhong University,,山西,师范,98.1,,https://www.shanghairanking.cn/_uni/logo-jpg/9083433800.jpg
516,菏泽学院,Heze University,,山东,综合,98.0,,https://www.shanghairanking.cn/_uni/logo-jpg/6859622100.jpg
517,邯郸学院,Handan College,,河北,师范,97.7,,https://www.shanghairanking.cn/_uni/logo/22418873.png
517,河北环境工程学院,Hebei University of Environmental Engineering,,河北,综合,97.7,,https://www.shanghairanking.cn/_uni/logo-jpg/5184991800.jpg
519,楚雄师范学院,Chuxiong Normal University,,云南,师范,97.6,,https://www.shanghairanking.cn/_uni/logo/62283799.png
520,白城师范学院,Baicheng Normal University,,吉林,师范,97.5,,https://www.shanghairanking.cn/_uni/logo-jpg/4750387800.jpg
520,华北科技学院,North China Institute of Science and Technology,,河北,理工,97.5,,https://www.shanghairanking.cn/_uni/logo/94510632.png
522,池州学院,Chizhou University,,安徽,师范,97.4,,https://www.shanghairanking.cn/_uni/logo/31711737.png
523,太原工业学院,Taiyuan Institute of Technology,,山西,理工,97.3,,https://www.shanghairanking.cn/_uni/logo/18568381.png
524,济宁学院,Jining University,,山东,师范,97.2,,https://www.shanghairanking.cn/_uni/logo/45162710.png
525,保定学院,Baoding University,,河北,师范,96.9,,https://www.shanghairanking.cn/_uni/logo-jpg/8911327100.jpg
526,景德镇学院,Jingdezhen University,,江西,综合,96.3,,https://www.shanghairanking.cn/_uni/logo/87006671.png
526,忻州师范学院,Xinzhou Teachers University,,山西,师范,96.3,,https://www.shanghairanking.cn/_uni/logo/87333253.png
528,蚌埠学院,Bengbu University,,安徽,理工,96.2,,https://www.shanghairanking.cn/_uni/logo/64894541.png
529,广州航海学院,Guangzhou Maritime University,,广东,理工,96.1,,https://www.shanghairanking.cn/_uni/logo-jpg/8091211800.jpg
529,集宁师范学院,Jining Normal University,,内蒙古,师范,96.1,,https://www.shanghairanking.cn/_uni/logo-jpg/1592444300.jpg
531,山西大同大学,Shanxi Datong University,,山西,综合,95.7,,https://www.shanghairanking.cn/_uni/logo/84783964.png
532,兴义民族师范学院,Xingyi Normal University for Nationalities,,贵州,师范,95.6,,https://www.shanghairanking.cn/_uni/logo-jpg/4357856000.jpg
533,四川文理学院,Sichuan University of Arts and Science,,四川,综合,95.3,,https://www.shanghairanking.cn/_uni/logo/52936789.png
534,鄂尔多斯应用技术学院,Ordos Institute of Technology,,内蒙古,综合,95.1,,https://www.shanghairanking.cn/_uni/logo-jpg/7932247000.jpg
535,广西民族师范学院,Guangxi Normal University for Nationalities,,广西,师范,94.4,,https://www.shanghairanking.cn/_uni/logo-jpg/8391212800.jpg
536,天津中德应用技术大学,Tianjin Sino-German University of Applied Sciences,,天津,理工,94.3,,https://www.shanghairanking.cn/_uni/logo-jpg/8663864500.jpg
537,山西电子科技学院,Shanxi University of Electronic Science and Technology,,山西,师范,94.1,,https://www.shanghairanking.cn/_uni/logo-jpg/9849610400.jpg
538,百色学院,Baise University,,广西,综合,94.0,,https://www.shanghairanking.cn/_uni/logo-jpg/5133582400.jpg
538,绥化学院,Suihua University,,黑龙江,综合,94.0,,https://www.shanghairanking.cn/_uni/logo-jpg/3200894300.jpg
540,河南工学院,Henan Institute of Technology,,河南,理工,93.9,,https://www.shanghairanking.cn/_uni/logo-jpg/2200013300.jpg
540,苏州城市学院,Wenzheng College of Soochow University,,江苏,综合,93.9,,https://www.shanghairanking.cn/_uni/logo-jpg/7187173700.jpg
542,新余学院,Xinyu University,,江西,综合,93.8,,https://www.shanghairanking.cn/_uni/logo-jpg/6113099900.jpg
543,亳州学院,Bozhou University,,安徽,师范,92.7,,https://www.shanghairanking.cn/_uni/logo/46908529.png
544,吉林工程技术师范学院,Jilin Engineering Normal University,,吉林,师范,92.2,,https://www.shanghairanking.cn/_uni/logo-jpg/9472304600.jpg
545,河套学院,Hetao University,,内蒙古,综合,92.1,,https://www.shanghairanking.cn/_uni/logo-jpg/6352286800.jpg
546,黑河学院,Heihe University,,黑龙江,综合,92.0,,https://www.shanghairanking.cn/_uni/logo-jpg/6108486600.jpg
547,吕梁学院,Luliang University,,山西,师范,91.9,,https://www.shanghairanking.cn/_uni/logo/57608847.png
548,荆楚理工学院,Jingchu University of Technology,,湖北,理工,91.7,,https://www.shanghairanking.cn/_uni/logo/77437503.png
549,贵州工程应用技术学院,Guizhou University of Engineering Science,,贵州,师范,91.5,,https://www.shanghairanking.cn/_uni/logo-jpg/3605984000.jpg
550,山西能源学院,Shanxi Institute of Energy,,山西,综合,90.9,,https://www.shanghairanking.cn/_uni/logo-jpg/7446893200.jpg
551,南京工业职业技术大学,Nanjing Vocational University of Industry Technology,,江苏,理工,90.5,,https://www.shanghairanking.cn/_uni/logo/77762582.png
552,石家庄学院,Shijiazhuang University,,河北,师范,90.0,,https://www.shanghairanking.cn/_uni/logo/40469773.png
553,兰州文理学院,Lanzhou University of Arts and Science,,甘肃,综合,89.9,,https://www.shanghairanking.cn/_uni/logo/34544153.png
553,新疆工程学院,Xinjiang Institute of Engineering,,新疆,理工,89.9,,https://www.shanghairanking.cn/_uni/logo-jpg/9851006000.jpg
555,广西科技师范学院,Guangxi Science and Technology Normal University,,广西,师范,89.7,,https://www.shanghairanking.cn/_uni/logo-jpg/8668105300.jpg
556,张家口学院,Zhangjiakou University,,河北,综合,89.5,,https://www.shanghairanking.cn/_uni/logo-jpg/7082706800.jpg
557,衡水学院,Hengshui University,,河北,师范,88.6,,https://www.shanghairanking.cn/_uni/logo-jpg/1780203800.jpg
558,黔南民族师范学院,Qiannan Normal College for Nationalities,,贵州,师范,88.5,,https://www.shanghairanking.cn/_uni/logo/22743614.png
558,四川民族学院,Sichuan University for Nationalities,,四川,师范,88.5,,https://www.shanghairanking.cn/_uni/logo-jpg/6044899600.jpg
560,保山学院,Baoshan University,,云南,师范,88.1,,https://www.shanghairanking.cn/_uni/logo-jpg/3305498700.jpg
561,赣东学院,"East China Institute of Technology, Yangtze River College",,江西,理工,87.5,,https://www.shanghairanking.cn/_uni/logo-jpg/4406712200.jpg
562,山西工程技术学院,Shanxi Institute of Technology,,山西,理工,87.1,,https://www.shanghairanking.cn/_uni/logo-jpg/5595557000.jpg
563,河池学院,Hechi University,,广西,综合,86.5,,https://www.shanghairanking.cn/_uni/logo-jpg/8043470000.jpg
564,普洱学院,Puer University,,云南,师范,85.9,,https://www.shanghairanking.cn/_uni/logo-jpg/1659450100.jpg
565,韶关学院,Shaoguan University,,广东,综合,85.2,,https://www.shanghairanking.cn/_uni/logo/14887282.png
566,嘉应学院,Jiaying University,,广东,综合,85.1,,https://www.shanghairanking.cn/_uni/logo/40007744.png
567,河北水利电力学院,Hebei University of Water Resources and Electric Engineering,,河北,理工,84.8,,https://www.shanghairanking.cn/_uni/logo-jpg/7761479100.jpg
568,豫章师范学院,Yuzhang Normal University,,江西,师范,84.7,,https://www.shanghairanking.cn/_uni/logo/95302268.png
569,西安航空学院,Xi'an Aeronautical University,,陕西,理工,84.6,,https://www.shanghairanking.cn/_uni/logo/48156282.png
570,汉江师范学院,Hanjiang Normal University,,湖北,师范,84.5,,https://www.shanghairanking.cn/_uni/logo-jpg/8409386600.jpg
570,新乡学院,Xinxiang University,,河南,理工,84.5,,https://www.shanghairanking.cn/_uni/logo/36805815.png
572,滇西科技师范学院,West Yunnan University,,云南,师范,84.0,,https://www.shanghairanking.cn/_uni/logo-jpg/4442061900.jpg
573,黑龙江工业学院,Heilongjiang University of Technology,,黑龙江,理工,82.3,,https://www.shanghairanking.cn/_uni/logo-jpg/4358643700.jpg
574,新疆理工学院,Xinjiang Institute of Technology,,新疆,综合,81.0,,https://www.shanghairanking.cn/_uni/logo/80391865.png
575,昌吉学院,Changji University,,新疆,师范,80.9,,https://www.shanghairanking.cn/_uni/logo-jpg/1738244300.jpg
576,太原学院,Taiyuan University,,山西,理工,80.5,,https://www.shanghairanking.cn/_uni/logo-jpg/6208575900.jpg
577,甘肃民族师范学院,Gansu Normal University for Nationalities,,甘肃,师范,79.0,,https://www.shanghairanking.cn/_uni/logo-jpg/6463626300.jpg
578,山东石油化工学院,"Shengli College, China University of Petroleum",,山东,理工,76.5,,https://www.shanghairanking.cn/_uni/logo/14620125.png
579,唐山学院,Tangshan College,,河北,理工,74.6,,https://www.shanghairanking.cn/_uni/logo/60481068.png
580,河北工业职业技术大学,Polytechnic College of Hebei University of Science and Technology,,河北,理工,72.7,,https://www.shanghairanking.cn/_uni/logo-jpg/4909441300.jpg
581,邢台学院,Xingtai University,,河北,师范,72.5,,https://www.shanghairanking.cn/_uni/logo/16573557.png
582,昭通学院,Zhaotong University,,云南,师范,71.4,,https://www.shanghairanking.cn/_uni/logo-jpg/6432819300.jpg
583,沧州师范学院,Cangzhou Normal University,,河北,师范,71.0,,https://www.shanghairanking.cn/_uni/logo-jpg/7545744400.jpg
584,广西职业师范学院,Guangxi Vocational Normal University,,广西,综合,67.7,,https://www.shanghairanking.cn/_uni/logo-jpg/8192216600.jpg
585,廊坊师范学院,Langfang Teachers University,,河北,师范,67.6,,https://www.shanghairanking.cn/_uni/logo/28138817.png
586,文山学院,Wenshan University,,云南,师范,65.5,,https://www.shanghairanking.cn/_uni/logo-jpg/9311830300.jpg
587,山西工程科技职业大学,Shanxi Vocational University of Engineering Science and Technology,,山西,理工,65.1,,https://www.shanghairanking.cn/_uni/logo-jpg/4206944500.jpg
588,沈阳工程学院,Shenyang Institute of Engineering,,辽宁,理工,64.3,,https://www.shanghairanking.cn/_uni/logo/54369362.png
589,滇西应用技术大学,West Yunnan University of Applied Sciences,,云南,综合,60.5,,https://www.shanghairanking.cn/_uni/logo-jpg/9547042700.jpg
589,河北科技工程职业技术大学,North China Electric Power University Science and Technology College,,河北,理工,60.5,,https://www.shanghairanking.cn/_uni/logo-jpg/8057595500.jpg
591,河北石油职业技术大学,Hebei University of Technology City College,,河北,理工,55.0,,https://www.shanghairanking.cn/_uni/logo-jpg/4513491700.jpg
592,新疆政法学院,Xinjiang University of Political Science and Law,,新疆,综合,54.9,,https://www.shanghairanking.cn/_uni/logo/54885562.png
593,广西农业职业技术大学,Guangxi Vocational University of Agriculture,,广西,综合,51.4,,https://www.shanghairanking.cn/_uni/logo-jpg/525ddd5afd.jpg
594,山西科技学院,Shanxi Institute of Science and Technology,,山西,理工,49.7,,https://www.shanghairanking.cn/_uni/logo-jpg/36dc69f3d4.jpg
